pathString;Warszawskie;Łódzkie;Kieleckie;Lubelskie;Białostockie;Wileńskie;Nowogródzkie;Poleskie;Poznańskie;Pomorskie;Śląskie;Krakowskie;Lwowskie;Stanisławowskie;Tarnopolskie;Wołyńskie
/8/81/814/;1602;1459;2082;1471;1097;275;282;381;1453;741;862;1141;893;479;427;822
/8/81/815/;195;133;150;124;93;;;;588;280;182;195;124;;;158
/8/81/816/;154;128;162;117;69;;;;148;91;118;216;185;111;144;77
/8/82/;1009;318;581;420;497;74;121;135;483;374;398;291;884;283;169;215
/8/Rest/;;;;;;;;;;;;;;;;
/9/;24380;17744;30877;18184;12622;6614;7467;5649;26830;15830;21862;26585;27484;14187;11921;11301
/9/m/;1425;948;1490;928;464;303;458;189;981;760;535;1319;1984;1005;800;588
/9/k/;22955;16796;29387;17256;12158;6311;7009;5460;22550;15070;21327;25266;25500;13182;11121;10713
/x/;23200;13561;19952;14873;12569;4398;4270;4306;49493;27306;70303;27828;25752;14898;10802;7596
/x/m/;10789;7431;10883;8529;7355;2474;2767;2837;22589;13556;36995;15857;14942;8254;5645;4998
/x/k/;12411;6130;9069;6344;5214;1924;1503;1469;26904;13750;33308;11971;10810;6644;5157;2598
/x/x1/;;;;;;;;;;;;;;;;
/n/;8209;2146;4004;6390;5873;1439;2385;3296;6843;7966;3943;3948;6603;2483;2594;3639
/n/m/;7055;1689;3184;5531;5283;1231;2078;2984;5301;6705;2925;3113;5547;2014;2121;3342
/n/k/;1154;457;820;859;590;208;307;312;1542;1261;1018;835;1056;469;473;297
